HOME_WON,H_ELO,A_ELO,H_NB_WIN,A_NB_WIN,H_PCT_3PT_L10,A_PCT_3PT_L10,H_PCT_LANCER_FRANC_L10,A_PCT_LANCER_FRANC_L10,H_PCT_TIR_REUSSI_L10,A_PCT_TIR_REUSSI_L10,H_PIE_L10,A_PIE_L10,H_assistPercentage_L10,A_assistPercentage_L10,H_assistRatio_L10,A_assistRatio_L10,H_assistToTurnover_L10,A_assistToTurnover_L10,H_defensiveRating_L10,A_defensiveRating_L10,H_effectiveFieldGoalPercentage_L10,A_effectiveFieldGoalPercentage_L10,H_estimatedDefensiveRating_L10,A_estimatedDefensiveRating_L10,H_estimatedNetRating_L10,A_estimatedNetRating_L10,H_estimatedOffensiveRating_L10,A_estimatedOffensiveRating_L10,H_estimatedPace_L10,A_estimatedPace_L10,H_estimatedTeamTurnoverPercentage_L10,A_estimatedTeamTurnoverPercentage_L10,H_netRating_L10,A_netRating_L10,H_offensiveRating_L10,A_offensiveRating_L10,H_pacePer40_L10,A_pacePer40_L10,H_pace_L10,A_pace_L10,H_trueShootingPercentage_L10,A_trueShootingPercentage_L10,H_turnoverRatio_L10,A_turnoverRatio_L10
0,1544.6466,1395.9492,3,5,0.3095,0.3442999999999999,0.7623,0.7651,0.4242,0.4034,0.4672,0.4807,0.6151000000000001,0.5937,17.33,15.59,2.043,1.597,104.21,105.58,0.4662,0.4463,102.98000000000002,102.81999999999998,-5.429999999999999,-2.49,97.56,100.32,97.925,96.564,13.2924,14.313,-3.769999999999999,-4.119999999999999,100.44,101.48,79.898,78.889,95.876,94.667,0.5001,0.4972999999999999,13.7,14.529999999999998
0,1656.9828,1584.2917,4,10,0.3405,0.4088,0.7424999999999999,0.7537,0.4585,0.4615999999999999,0.4854000000000001,0.5862999999999999,0.5458000000000001,0.6738999999999999,16.39,19.03,1.8270000000000004,1.926,110.52,98.21,0.5125000000000001,0.5264,108.83,96.27,-1.5199999999999991,12.279999999999998,107.33,108.54,98.627,97.13,13.410099999999996,14.365800000000002,-0.4400000000000005,11.41,110.10000000000002,109.63,80.463,79.75,96.557,95.7,0.5454000000000001,0.5668,13.77,14.5
1,1716.9376,1554.7244,5,8,0.3495,0.4193,0.7494,0.7802999999999999,0.4353000000000001,0.4884,0.4843,0.5856,0.5504999999999999,0.7138,15.54,21.62,1.56,2.42,106.58,99.47,0.4798,0.5554000000000001,104.59,97.76,-1.92,14.919999999999998,102.68,112.68999999999998,100.228,100.102,14.1213,13.4828,-1.92,13.37,104.67,112.86,81.945,82.625,98.336,99.15,0.5191000000000001,0.5854999999999999,14.41,13.52
1,1503.7319,1609.5132,7,6,0.3613,0.309,0.7404,0.7447,0.4619,0.4690999999999999,0.5263,0.5181000000000001,0.601,0.5448000000000001,18.36,16.270000000000003,2.321,1.6209999999999998,102.01,105.9,0.5131,0.5029999999999999,100.34,103.4,5.64,3.539999999999999,105.99,106.94,98.94,99.28,10.880999999999998,14.4194,5.069999999999999,3.89,107.09,109.78,81.364,80.666,97.637,96.8,0.5424,0.5470999999999999,10.97,14.8
1,1651.9821,1643.0616,6,8,0.3496,0.3892,0.7232,0.8098000000000001,0.4603,0.4387999999999999,0.5065999999999999,0.5436,0.6298999999999999,0.5898999999999999,18.41,17.11,1.7700000000000002,1.781,101.06,98.0,0.5067999999999999,0.5098999999999999,99.54,97.0,0.9200000000000004,7.479999999999999,100.46,104.48,97.033,97.108,14.6537,13.8154,2.0800000000000005,8.070000000000002,103.11,106.08,79.197,79.89599999999999,95.038,95.876,0.5361,0.5454,15.0,14.02
1,1331.7456,1581.4492,6,1,0.3425,0.3502,0.7846,0.8010999999999999,0.4861,0.4336,0.5218999999999999,0.4589999999999999,0.4891,0.6259,15.35,17.330000000000002,1.4739999999999998,1.7529999999999997,106.97,110.24,0.5361,0.4734,103.98999999999998,108.87,5.15,-9.02,109.11,99.85,100.725,98.126,14.804600000000002,15.1611,2.95,-7.030000000000001,109.91,103.22,82.41499999999999,79.958,98.898,95.95,0.5738,0.5149000000000001,14.95,15.66
1,1393.7537,1435.5778,4,3,0.3283,0.3503,0.7602,0.7179,0.4417000000000001,0.4483,0.5184,0.4768,0.5524999999999999,0.6091999999999999,15.250000000000004,17.369999999999997,1.276,1.6649999999999998,101.71,105.33,0.4845,0.4939999999999999,100.06,103.9,1.9000000000000004,-4.3,101.97,99.61,94.384,96.896,17.1975,13.9343,1.92,-4.01,103.62,101.32,77.37500000000001,79.458,92.85,95.35,0.5299000000000001,0.5294,17.5,14.19
0,1468.6632,1423.5626,4,4,0.3301,0.2996,0.7765000000000001,0.7451000000000001,0.4624,0.4615999999999999,0.4962,0.505,0.5023,0.6141,14.8,17.209999999999997,1.431,1.4460000000000002,107.39999999999998,108.34,0.496,0.4966,106.14,104.51999999999998,-2.65,-3.390000000000001,103.49,101.15,99.17499999999998,91.618,15.6238,16.7829,-2.63,-6.609999999999999,104.79,101.73,81.58,74.749,97.898,89.7,0.5450999999999999,0.5404000000000001,15.820000000000002,16.859999999999996
0,1442.4127,1624.6722,7,2,0.3799,0.3294999999999999,0.7558,0.7212999999999999,0.4598000000000001,0.4113,0.5441999999999999,0.4241,0.6513,0.5411,19.09,14.62,2.421,1.41,100.85,110.14,0.5262,0.4682,100.14,109.79,7.9,-10.91,108.03000000000002,98.89,96.25,94.014,12.252299999999998,14.7559,9.2,-8.97,110.03,101.15,79.16900000000001,77.291,95.0,92.75,0.5629000000000001,0.5038,12.54,15.11
1,1459.3337,1460.6226,5,4,0.2842,0.362,0.7659,0.7927,0.4263,0.4246,0.515,0.4977999999999999,0.5186999999999999,0.5982999999999999,14.37,16.21,1.4149999999999998,1.505,101.25,105.01000000000002,0.4579,0.4651999999999999,96.99,101.7,2.0500000000000003,-1.4699999999999993,99.02,100.22,97.011,96.589,14.1942,14.6173,0.6000000000000005,-1.2100000000000004,101.88,103.8,78.053,77.801,93.662,93.359,0.5085,0.5179,14.599999999999998,15.160000000000002
1,1286.8308,1459.7754,8,4,0.359,0.3077999999999999,0.7382000000000001,0.6753999999999999,0.4464,0.4098,0.5307000000000001,0.4138,0.5841999999999999,0.5875,17.07,15.220000000000002,1.9950000000000003,1.217,101.59,106.25,0.5073000000000001,0.4526999999999999,99.34,104.96,8.02,-12.02,107.34,92.96,97.396,96.882,12.9113,18.2381,6.640000000000001,-11.920000000000002,108.24,94.32,79.875,79.58399999999999,95.85,95.5,0.5405,0.4899000000000001,13.070000000000002,18.57
0,1675.668,1556.2937,5,10,0.3578,0.43,0.7605000000000001,0.7623,0.4227999999999999,0.4858,0.4828,0.5993999999999999,0.5934,0.6695,16.419999999999998,19.66,1.842,1.935,106.97,98.75,0.47,0.5543,104.59,96.27,-1.13,15.29,103.45,111.55,96.242,96.98,13.9118,14.7184,-2.74,13.31,104.25,112.07,78.92999999999999,79.625,94.717,95.55,0.5137,0.5932999999999999,14.09,14.76
0,1702.5223,1624.0862,7,8,0.371,0.4105999999999999,0.712,0.7706999999999999,0.4659000000000001,0.4876999999999999,0.5269999999999999,0.5890000000000002,0.6022000000000001,0.7196,17.59,21.79,1.4150000000000005,2.491,101.11,99.95000000000002,0.5404,0.5523,98.96,98.49,8.640000000000002,14.66,107.59,113.16,98.882,100.538,17.2449,12.821699999999998,9.55,13.34,110.65,113.32,80.376,83.083,96.45,99.7,0.5657,0.5831999999999999,17.73,12.84
1,1643.0665,1614.5728,7,7,0.341,0.366,0.7609000000000001,0.7981,0.4686,0.447,0.5172999999999999,0.5347000000000001,0.5821999999999999,0.5861000000000001,17.159999999999997,17.190000000000005,1.6030000000000002,1.749,103.22,98.91,0.5023,0.5129,102.13,97.54999999999998,0.9200000000000002,6.059999999999999,103.03,103.61,95.356,97.315,15.357400000000002,14.154500000000002,2.8000000000000003,6.220000000000001,105.99,105.13,77.942,79.964,93.531,95.957,0.5412999999999999,0.5468,15.779999999999996,14.35
0,1547.1378,1457.9698,3,5,0.2839,0.3694,0.7878000000000001,0.7632,0.4469,0.4774,0.4915999999999999,0.4989,0.5740000000000001,0.6617999999999999,16.349999999999998,19.390000000000004,1.395,1.6789999999999998,101.53,108.73000000000002,0.4827999999999999,0.5135,100.51,105.23000000000002,-4.0,-3.06,96.49,102.19,93.482,94.122,16.106199999999998,16.7761,-2.210000000000001,-5.91,99.3,102.80000000000004,76.42599999999999,76.91499999999999,91.711,92.3,0.5216999999999998,0.5477000000000001,16.560000000000002,16.86
0,1329.7178,1500.0798,6,1,0.317,0.3666,0.7154,0.7886,0.4662,0.44,0.5134000000000001,0.4533,0.5707,0.6171,16.810000000000002,17.340000000000003,1.691,1.607,104.83,112.07,0.5012000000000001,0.4826,102.59,110.63,3.59,-9.88,106.18,100.76,99.426,96.9,14.1006,15.676699999999997,3.6999999999999993,-8.0,108.53,104.08,81.083,78.999,97.3,94.8,0.542,0.5214000000000001,14.39,16.18
0,1609.4836,1409.4846,4,6,0.3389,0.3863,0.7914000000000001,0.751,0.4609999999999999,0.4679999999999999,0.4889,0.5392999999999999,0.5208999999999999,0.6589,15.179999999999998,19.5,1.426,2.483,106.09,104.46,0.4955,0.5346,105.21,103.38,-3.26,6.6800000000000015,101.95,110.06,98.253,96.608,15.9685,12.2498,-2.71,7.25,103.4,111.68999999999998,80.87199999999999,79.50200000000001,97.048,95.4,0.545,0.5698,16.199999999999996,12.48
0,1503.8317,1565.6066,4,4,0.3344999999999999,0.3648,0.7471,0.7769999999999999,0.4572,0.4538,0.4822999999999999,0.4991,0.5688,0.537,16.86,15.439999999999998,1.7440000000000002,1.317,109.58,104.45,0.5103,0.4953,108.11,103.61,-3.11,0.4900000000000002,105.01999999999998,104.09,97.765,93.579,14.6108,16.4457,-1.8400000000000003,1.1599999999999997,107.76,105.64,79.797,77.03200000000001,95.757,92.438,0.5424999999999999,0.5399,15.05,16.69
0,1569.1396,1353.9854,3,6,0.3397,0.3634,0.7433,0.7416,0.4511,0.4424,0.4474,0.4902,0.5674,0.5599000000000001,16.669999999999995,15.94,1.645,1.5710000000000002,106.64,106.69,0.4942999999999999,0.489,106.17,104.72,-6.909999999999999,-0.2699999999999999,99.28000000000002,104.46,98.27,101.055,14.062699999999998,14.434099999999995,-5.82,-0.4899999999999999,100.82,106.21,81.041,82.72099999999999,97.25,99.267,0.5272,0.5278,14.26,14.7
1,1440.937,1651.9772,7,4,0.3446,0.3496,0.74,0.7745,0.4556999999999999,0.4484,0.5191,0.5043,0.6433,0.5624999999999999,18.67,15.81,1.885,1.34,101.17,103.63,0.504,0.4958,99.31,101.99,2.95,1.2300000000000004,102.26,103.23000000000002,97.211,93.866,14.2108,17.1821,4.08,1.1,105.22,104.72,79.114,77.042,94.938,92.45,0.5349,0.5368,14.579999999999998,17.449999999999996
1,1348.8522,1467.0737,6,2,0.2642,0.3666,0.7521,0.8208,0.4150999999999999,0.4496,0.5238,0.4698,0.5203,0.5875999999999999,14.080000000000002,17.240000000000002,1.4639999999999995,1.6510000000000002,96.42,112.84,0.4431,0.492,93.11,110.72,3.64,-7.480000000000001,96.74,103.25,96.943,96.192,13.8074,14.8507,2.3899999999999992,-6.119999999999999,98.85,106.73,78.577,78.083,94.29,93.7,0.4941999999999999,0.5325000000000001,14.13,15.38
1,1282.5294,1557.2628,6,4,0.3674,0.3028,0.7521,0.7001999999999999,0.4846999999999999,0.4177,0.5216000000000001,0.4330999999999999,0.6526,0.6022,19.550000000000004,15.910000000000002,1.7600000000000002,1.2689999999999997,107.1,105.28,0.5214000000000001,0.4614,103.81000000000002,103.68,0.6999999999999996,-9.68,104.53,94.03,93.13,96.154,15.9126,17.8658,-1.8200000000000005,-10.010000000000002,105.26,95.26000000000002,76.124,78.95899999999999,91.35,94.75,0.5527000000000001,0.4975,16.020000000000003,18.14
1,1464.0768,1684.1106,10,8,0.4378,0.3595,0.7654,0.7706999999999999,0.4828,0.4431,0.5947,0.5255000000000001,0.6895000000000001,0.6003000000000001,20.18,17.34,2.0920000000000005,1.964,99.09,101.91,0.5515000000000001,0.5043000000000001,96.83,99.77,15.01,7.3,111.83,107.05,96.398,97.36,14.2557,13.433699999999998,13.47,6.23,112.57,108.15,79.167,79.83399999999999,95.0,95.8,0.5903999999999999,0.5408,14.320000000000002,13.6
1,1384.302,1615.9717,7,3,0.3704,0.3158,0.7355,0.7748,0.4700999999999999,0.4331,0.5479,0.4718999999999999,0.6431000000000001,0.631,19.26,18.12,2.79,2.156,103.87,106.87,0.5342,0.4743,102.67,105.97,8.66,-6.42,111.33,99.56,97.114,97.193,11.149,12.9575,9.240000000000002,-4.27,113.1,102.6,79.83500000000001,79.356,95.8,95.226,0.5693,0.507,11.37,13.39
1,1480.9454,1723.24,9,5,0.4301,0.3335,0.7828999999999999,0.7236999999999999,0.5001,0.4664,0.6081,0.5065000000000001,0.713,0.5798,22.05,17.150000000000002,2.5700000000000003,1.8009999999999995,99.75,106.82,0.5659,0.5053,98.29999999999998,104.85000000000002,18.23,1.89,116.54,106.73,101.446,98.54,12.4858,13.401,17.04,2.37,116.81,109.18999999999998,83.791,80.458,100.55,96.55,0.5974,0.545,12.510000000000002,13.68
0,1613.1653,1619.3408,7,7,0.3505,0.3655,0.7519,0.7655000000000001,0.4726,0.4530999999999999,0.5212,0.5304,0.5713,0.6201,17.11,18.49,1.596,2.314,103.19,101.29,0.5067,0.5063,102.3,99.79,1.0800000000000003,6.069999999999999,103.37,105.87,95.238,98.56,15.4184,11.1384,2.45,5.3900000000000015,105.62,106.69,78.15099999999998,81.239,93.781,97.487,0.5418000000000001,0.5408000000000001,15.749999999999996,11.19
1,1452.8826,1603.3685,6,4,0.3619,0.3330000000000001,0.7212000000000001,0.8,0.4647,0.4168999999999999,0.5046999999999999,0.4994999999999999,0.6038,0.6083,17.45,16.169999999999998,1.39,1.466,104.81999999999998,102.89,0.5336000000000001,0.4556999999999999,102.71,99.69,4.160000000000001,-1.6199999999999997,106.85,98.06,99.926,96.257,17.354400000000002,15.1536,4.979999999999999,-1.7600000000000002,109.8,101.12,81.292,77.783,97.55,93.337,0.563,0.5087,17.83,15.610000000000005
1,1511.7943,1298.5029,0,5,0.3364999999999999,0.3656,0.7069,0.7495,0.4080999999999999,0.4548,0.3795,0.5001,0.6476000000000001,0.5418000000000001,16.970000000000002,15.52,1.51,1.3030000000000002,110.6,102.94,0.4582,0.497,109.76,102.69,-19.06,1.14,90.71,103.8,95.293,93.221,16.279599999999995,16.7868,-18.52,2.02,92.06,105.0,78.51899999999999,77.074,94.222,92.488,0.4856000000000001,0.5396,16.51,16.990000000000002
0,1557.6439,1505.8629,6,3,0.3638,0.3243,0.7509,0.751,0.4497000000000001,0.4526,0.5564,0.4810999999999999,0.6643000000000001,0.5658999999999998,18.43,16.46,1.497,1.614,92.57,109.04,0.4958999999999999,0.5030000000000001,90.64,107.35,7.95,-4.239999999999999,98.58,103.14,95.435,97.995,17.952099999999998,15.1452,7.089999999999999,-3.25,99.66,105.8,78.303,79.92199999999998,93.962,95.907,0.5301,0.5391000000000001,18.15,15.57
1,1547.8511,1457.6013,3,5,0.3311,0.3603999999999999,0.732,0.7872,0.4227,0.4306999999999999,0.435,0.4865,0.5288999999999999,0.5943,14.580000000000002,16.669999999999998,1.41,1.865,110.98999999999998,108.05,0.4777999999999999,0.4789,110.49,105.64,-9.44,-0.5999999999999999,101.05,105.03000000000002,94.354,96.402,14.711000000000002,13.8792,-7.660000000000001,-1.98,103.32,106.08,77.54100000000001,78.97200000000001,93.05,94.767,0.5148,0.5251,15.050000000000002,14.09
1,1402.9966,1638.2985,6,3,0.3601999999999999,0.3167,0.7990999999999999,0.7843000000000001,0.438,0.4519999999999999,0.5178999999999999,0.4829,0.5822,0.5178999999999999,16.990000000000002,14.899999999999997,1.916,1.391,101.3,106.31999999999998,0.5006,0.4848,99.91,105.23,3.6599999999999993,-4.299999999999999,103.57,100.94,95.889,98.068,12.9406,16.296699999999998,3.64,-3.95,104.93999999999998,102.38,78.83899999999998,80.64599999999999,94.607,96.776,0.5355,0.5336000000000001,13.1,16.529999999999998
1,1388.3944,1583.4771,6,3,0.3349,0.3332,0.7872,0.7369999999999999,0.4907,0.4441,0.5198,0.4794,0.4721,0.5793999999999999,15.000000000000004,16.330000000000002,1.402,1.569,107.24,104.52,0.5384,0.4847,103.97,102.99,5.71,-4.34,109.65,98.66,99.863,95.642,15.2604,14.617,3.53,-4.14,110.76000000000002,100.38,81.498,78.375,97.798,94.05,0.5742,0.5250999999999999,15.460000000000004,14.88
0,1582.093,1482.7412,4,6,0.3134,0.3394,0.7437000000000001,0.7550999999999999,0.4612999999999999,0.4483,0.5109999999999999,0.5113,0.6209,0.5587,17.34,16.04,1.4979999999999998,1.5319999999999998,107.66,104.99,0.4975,0.4949,103.68,103.0,-2.579999999999999,1.4000000000000008,101.12,104.41,91.338,102.155,16.523500000000002,14.8393,-6.22,1.1000000000000003,101.43,106.09,74.541,83.638,89.45,100.367,0.5422999999999999,0.5349,16.57,15.089999999999998
0,1655.7288,1475.467,5,7,0.3392,0.355,0.7162999999999999,0.7351,0.4584,0.4474999999999999,0.4868,0.5289,0.5879000000000001,0.6611,17.080000000000002,18.91,1.727,1.999,106.56000000000002,98.25,0.4989999999999999,0.4941999999999999,104.99,96.42,-1.1199999999999997,5.0,103.85,101.42,99.05,96.109,13.917599999999998,13.462099999999998,-0.4399999999999998,6.1000000000000005,106.12,104.33,81.041,78.198,97.25,93.838,0.5363999999999999,0.5254999999999999,14.2,13.830000000000002
1,1473.6403,1474.3088,7,4,0.2907,0.3198,0.7397,0.7460000000000001,0.4232999999999999,0.457,0.5432,0.5135,0.5271999999999999,0.6348,14.65,17.48,1.604,1.48,95.48,105.96,0.4542,0.4948,92.19,102.61,6.789999999999999,-2.8200000000000003,98.98,99.8,96.522,91.55,13.2207,16.9999,5.96,-6.059999999999999,101.47,99.88,78.108,74.99999999999999,93.728,90.0,0.5018,0.5400999999999999,13.57,17.009999999999998
1,1437.1854,1470.0054,4,4,0.3497,0.3375,0.7164999999999999,0.7779,0.4342,0.4404,0.4532,0.4974999999999999,0.5122,0.5761999999999999,14.55,15.74,1.431,1.293,111.12,102.89,0.489,0.4851999999999999,110.31000000000002,101.64,-6.34,-1.11,103.96999999999998,100.54,94.386,93.306,14.5889,17.4326,-4.35,-0.7900000000000004,106.75,102.09,77.291,76.66699999999999,92.75,92.0,0.5248,0.5269999999999999,14.99,17.729999999999997
0,1310.6682,1278.625,4,1,0.3009,0.35,0.7011000000000001,0.699,0.4081,0.4072999999999999,0.4158,0.3905,0.616,0.6429999999999999,15.88,17.020000000000003,1.263,1.86,105.06000000000002,109.71,0.4513,0.4607,103.36,108.53,-11.64,-17.24,91.75,91.29,96.404,93.518,17.8154,15.413999999999998,-12.03,-17.25,93.02,92.45000000000002,79.08399999999999,77.001,94.9,92.4,0.4884,0.4854,18.1,15.62
1,1449.1747,1686.5089,10,3,0.4417,0.2996,0.7501000000000001,0.7910999999999999,0.4861,0.4185,0.5978000000000001,0.4889,0.7006,0.5963999999999999,20.67,15.94,2.156,1.385,97.92,103.19,0.5565,0.4545,95.87,100.06,15.24,-3.65,111.1,96.4,96.43999999999998,97.173,14.2319,15.7487,14.12,-4.35,112.04,98.84,79.209,78.741,95.05,94.487,0.5900000000000001,0.5039,14.320000000000002,16.15
1,1341.032,1461.6785,7,2,0.3458,0.3304999999999999,0.7713,0.7519,0.4284999999999999,0.4377,0.5005000000000001,0.427,0.5957000000000001,0.5676,16.7,16.21,1.912,1.5950000000000002,102.9,107.18,0.4866,0.4782,100.84,106.63,4.34,-9.69,105.16,96.96,97.574,100.152,13.6036,14.153199999999998,3.419999999999999,-8.48,106.33,98.7,80.042,82.49999999999999,96.05,99.0,0.5257,0.5151,13.77,14.389999999999995
1,1564.2607,1606.4775,6,3,0.3174,0.3057999999999999,0.761,0.7468000000000001,0.4664,0.4437,0.5114000000000001,0.4704,0.5471,0.5595999999999999,16.499999999999996,15.98,1.602,1.337,105.05,107.64,0.4972999999999999,0.4918,104.04,106.4,-1.07,-5.96,102.97,100.46999999999998,95.44,97.871,14.6234,16.1712,0.7000000000000002,-4.190000000000001,105.73,103.46,78.068,79.838,93.681,95.807,0.5338,0.528,15.01,16.669999999999998
0,1626.0286,1341.6171,2,7,0.3510999999999999,0.3732,0.8294,0.7555999999999999,0.4396000000000001,0.4535,0.4553999999999999,0.5283,0.5744,0.6033999999999999,16.47,18.02,1.509,2.228,112.9,101.43,0.4808,0.5076,110.49,99.06,-9.2,7.429999999999998,101.29,106.49,96.758,97.642,15.4185,11.4195,-8.110000000000001,5.799999999999999,104.8,107.24,78.416,80.15599999999999,94.1,96.187,0.5242,0.5419,15.97,11.47
1,1385.0256,1499.629,4,2,0.3508,0.3243,0.7573999999999999,0.7402,0.4446,0.4368,0.4884000000000001,0.4665000000000001,0.5337,0.5725,15.11,15.839999999999998,1.263,1.518,103.64,105.18000000000002,0.4866,0.4735999999999999,103.13,103.99,-0.1799999999999998,-6.11,102.92,97.89,92.329,95.58,16.8057,14.9743,0.8699999999999996,-6.03,104.54,99.15,76.11500000000001,78.625,91.338,94.35,0.5305,0.5169,17.07,15.16
0,1591.194,1561.1672,7,6,0.3687999999999999,0.3329,0.7432000000000001,0.7293999999999999,0.4939,0.4519999999999999,0.5513999999999999,0.4916,0.6412000000000001,0.5452999999999999,19.4,15.84,1.693,1.504,103.26,106.51,0.5283,0.4972,99.9,104.67,5.39,-0.7099999999999996,105.3,103.97,93.484,101.859,16.7008,14.8373,2.49,-0.5199999999999999,105.74,105.99,76.458,83.347,91.75,100.017,0.5588,0.5333,16.770000000000003,15.13
1,1639.5624,1586.8458,7,6,0.3326,0.3464,0.781,0.7895000000000001,0.493,0.4309,0.5292999999999999,0.5016,0.4841,0.5764,15.27,16.52,1.2719999999999998,1.851,105.38000000000002,102.02,0.5431,0.4897999999999999,102.07,100.94,7.169999999999999,0.93,109.21,101.85,100.811,96.827,16.0789,12.979000000000005,5.249999999999999,1.86,110.63000000000002,103.88000000000002,82.16400000000002,79.506,98.598,95.407,0.5781,0.5263000000000001,16.300000000000004,13.22
0,1447.8448,1401.7327,3,2,0.305,0.2645,0.7776,0.7798999999999999,0.448,0.4474,0.4869,0.4744,0.4965999999999999,0.5629,14.22,16.11,1.343,1.374,104.86,103.96,0.4776000000000001,0.4821,103.09,102.79,-3.3199999999999994,-6.459999999999999,99.79,96.31,98.952,93.08,16.3542,16.051000000000002,-3.71,-5.08,101.16,98.87,81.146,76.135,97.376,91.361,0.5279,0.5197,16.580000000000002,16.47
1,1607.0764,1728.7184,9,7,0.4388999999999999,0.3799,0.7797000000000001,0.7303,0.5078,0.4763,0.6262999999999999,0.5305000000000001,0.7032,0.6112,22.06,17.77,2.601,1.4040000000000004,98.41,103.16,0.5754,0.5500999999999999,96.69,101.19,21.62,8.34,118.33,109.5,101.104,100.066,12.2656,17.4417,20.18,9.23,118.61,112.37,83.333,81.50000000000001,100.0,97.8,0.6064999999999999,0.5818999999999999,12.3,17.89
1,1663.2667,1535.447,4,8,0.3571,0.373,0.7805,0.7459999999999999,0.4264,0.4478,0.4725,0.5408000000000001,0.5764000000000001,0.6836,16.04,19.42,1.7009999999999998,2.0620000000000003,109.87,98.34,0.4751999999999999,0.4978999999999999,107.14,96.73,-2.8199999999999994,6.32,104.31,103.05,95.81199999999998,96.48300000000002,14.028299999999998,13.3478,-3.839999999999999,7.9,106.04,106.22,78.139,78.49,93.767,94.188,0.5231,0.5313999999999999,14.29,13.76
0,1429.7991,1499.2461,6,3,0.3516,0.3370999999999999,0.7362999999999998,0.7784000000000001,0.4556,0.434,0.5622999999999999,0.4827999999999999,0.6613,0.6026999999999999,18.520000000000003,16.16,1.515,1.299,92.79,103.85,0.4975999999999999,0.4791,90.83,102.98,8.110000000000001,-3.77,98.93,99.22,95.487,93.51,17.7185,17.990599999999997,7.2,-2.75,99.99,101.09,78.344,76.83399999999999,94.012,92.2,0.5319,0.5206,17.91,18.37
0,1382.3163,1633.6987,5,2,0.3537,0.3334,0.7903,0.7595000000000001,0.4357,0.4255999999999999,0.495,0.4448,0.5749,0.631,16.56,17.720000000000002,1.851,2.036,103.68,109.72,0.4958,0.4712,102.78,109.08,0.0200000000000001,-10.1,102.77,98.99,97.964,96.177,12.9595,13.355399999999998,0.9700000000000004,-7.4,104.65,102.32,80.58399999999999,78.523,96.7,94.226,0.5336000000000001,0.5042,13.170000000000002,13.84
1,1454.5863,1617.9574,7,2,0.3698,0.2545,0.7371000000000001,0.7988000000000001,0.472,0.4373,0.5506,0.4702,0.6474,0.5589999999999999,19.49,15.78,2.864,1.403,103.88,104.49,0.5353,0.4703,102.4,103.11999999999998,9.750000000000002,-6.4,112.15,96.7,96.72599999999998,92.982,10.9197,15.3475,9.69,-5.19,113.56,99.29,79.543,75.96799999999999,95.45,91.161,0.5700000000000001,0.513,11.1,15.76
0,1560.0111,1268.0104,4,3,0.2996999999999999,0.3055,0.71,0.7445,0.4043000000000001,0.4351,0.4317,0.4620000000000001,0.6318999999999999,0.5765,16.13,15.999999999999996,1.3249999999999995,1.2970000000000002,102.62,107.76000000000002,0.4469,0.4840999999999999,100.64,106.63000000000002,-8.48,-6.299999999999999,92.19,100.36,96.054,97.706,17.1583,16.716900000000003,-9.07,-4.450000000000001,93.54,103.32,78.667,79.74900000000001,94.4,95.7,0.487,0.5255000000000001,17.450000000000003,17.229999999999997
1,1597.3295,1689.6321,10,7,0.4512,0.3178999999999999,0.749,0.7548999999999999,0.4849,0.4412000000000001,0.6027000000000001,0.4960000000000001,0.738,0.5511,21.57,15.79,2.223,1.597,96.91,105.19,0.56,0.4866,95.05,103.37,16.159999999999997,-0.3199999999999997,111.2,103.06,95.78799999999998,101.464,14.5136,13.9937,15.09,0.3300000000000008,111.99,105.52,78.792,82.828,94.55,99.393,0.5926,0.5262,14.580000000000002,14.35
1,1477.52,1477.3917,4,8,0.3438,0.2951,0.7144999999999999,0.7218,0.4482,0.4189,0.4626,0.5527000000000001,0.5208,0.5458999999999999,15.1,14.91,1.373,1.657,111.97,93.68,0.5037,0.4503999999999999,111.06000000000002,90.58,-5.1,8.91,105.96,99.49,94.1,95.382,15.3843,12.9977,-3.7000000000000006,8.41,108.26,102.11,77.208,77.191,92.65,92.628,0.537,0.4961,15.74,13.36
1,1446.0515,1470.4291,4,2,0.2976,0.2796,0.7626999999999999,0.8034000000000001,0.4391,0.4149999999999999,0.5086,0.4775,0.6285999999999999,0.5988,17.130000000000003,15.78,1.5509999999999995,1.347,103.79,104.73,0.4744,0.4493,100.04999999999998,102.03,-2.99,-6.2,97.08,95.82,91.424,97.307,16.2189,16.0137,-6.0600000000000005,-6.529999999999999,97.71,98.21,74.542,79.03200000000001,89.45,94.837,0.5193,0.5025000000000001,16.28,16.42
1,1337.1644,1321.2828,2,2,0.3591,0.3505,0.7172999999999999,0.7919,0.4147,0.4425,0.412,0.4343,0.6519999999999999,0.5780000000000001,17.44,16.65,1.904,1.6829999999999998,108.85,107.91,0.4681,0.4836999999999999,107.21999999999998,106.79,-13.75,-7.359999999999999,93.48,99.45,93.518,101.224,15.5427,13.86,-14.330000000000002,-7.12,94.51000000000002,100.78,76.918,83.375,92.3,100.05,0.4947999999999999,0.5237,15.720000000000002,14.029999999999998
0,1555.4032,1634.1221,7,4,0.3606,0.3672999999999999,0.7509,0.7892999999999999,0.4524,0.4368,0.5303999999999999,0.4882000000000001,0.6213,0.5778000000000001,18.49,16.41,2.164,1.7849999999999997,101.16,109.33,0.5089,0.4864999999999999,98.45,106.96,7.75,-1.11,106.19,105.83,96.698,94.718,11.9727,13.5014,5.7,-1.6499999999999992,106.87,107.69,79.24,77.37499999999999,95.087,92.85,0.5412999999999999,0.5345000000000001,12.02,13.76
